"CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry"
"VINET","5.00","7/4/1996","8/1/1996","7/16/1996","3.00","32.38","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","","51100","France"
"TOMSP","6.00","7/5/1996","8/16/1996","7/10/1996","1.00","11.61","Toms Spezialitäten","Luisenstr. 48","Münster","","44087","Germany"
"HANAR","4.00","7/8/1996","8/5/1996","7/12/1996","2.00","65.83","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil"
"VICTE","3.00","7/8/1996","8/5/1996","7/15/1996","1.00","41.34","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"SUPRD","4.00","7/9/1996","8/6/1996","7/11/1996","2.00","51.30","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgium"
"HANAR","3.00","7/10/1996","7/24/1996","7/16/1996","2.00","58.17","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil"
"CHOPS","5.00","7/11/1996","8/8/1996","7/23/1996","2.00","22.98","Chop-suey Chinese","Hauptstr. 31","Bern","","3012","Switzerland"
"RICSU","9.00","7/12/1996","8/9/1996","7/15/1996","3.00","148.33","Richter Supermarkt","Starenweg 5","Genève","","1204","Switzerland"
"WELLI","3.00","7/15/1996","8/12/1996","7/17/1996","2.00","13.97","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brazil"
"HILAA","4.00","7/16/1996","8/13/1996","7/22/1996","3.00","81.91","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"ERNSH","1.00","7/17/1996","8/14/1996","7/23/1996","1.00","140.51","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"CENTC","4.00","7/18/1996","8/15/1996","7/25/1996","3.00","3.25","Centro comercial Moctezuma","Sierras de Granada 9993","México D.F.","","05022","Mexico"
"OTTIK","4.00","7/19/1996","8/16/1996","7/29/1996","1.00","55.09","Ottilies Käseladen","Mehrheimerstr. 369","Köln","","50739","Germany"
"QUEDE","4.00","7/19/1996","8/16/1996","7/30/1996","2.00","3.05","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil"
"RATTC","8.00","7/22/1996","8/19/1996","7/25/1996","3.00","48.29","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"ERNSH","9.00","7/23/1996","8/20/1996","7/31/1996","3.00","146.06","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"FOLKO","6.00","7/24/1996","8/21/1996","8/23/1996","3.00","3.67","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Sweden"
"BLONP","2.00","7/25/1996","8/22/1996","8/12/1996","1.00","55.28","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"WARTH","3.00","7/26/1996","9/6/1996","7/31/1996","3.00","25.73","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"FRANK","4.00","7/29/1996","8/26/1996","8/6/1996","1.00","208.58","Frankenversand","Berliner Platz 43","München","","80805","Germany"
"GROSR","8.00","7/30/1996","8/27/1996","8/2/1996","3.00","66.29","GROSELLA-Restaurante","5ª Ave. Los Palos Grandes","Caracas","DF","1081","Venezuela"
"WHITC","5.00","7/31/1996","8/14/1996","8/9/1996","1.00","4.56","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
"WARTH","1.00","8/1/1996","8/29/1996","8/2/1996","1.00","136.54","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"SPLIR","6.00","8/1/1996","8/29/1996","8/30/1996","2.00","4.54","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"RATTC","6.00","8/2/1996","8/30/1996","8/6/1996","2.00","98.03","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"QUICK","3.00","8/5/1996","9/2/1996","8/12/1996","3.00","76.07","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"VINET","6.00","8/6/1996","9/3/1996","8/16/1996","1.00","6.01","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","","51100","France"
"MAGAA","1.00","8/7/1996","9/4/1996","8/9/1996","1.00","26.93","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italy"
"TORTU","8.00","8/8/1996","8/22/1996","8/14/1996","3.00","13.84","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico"
"MORGK","2.00","8/9/1996","9/6/1996","8/13/1996","3.00","125.77","Morgenstern Gesundkost","Heerstr. 22","Leipzig","","04179","Germany"
"BERGS","8.00","8/12/1996","9/9/1996","8/16/1996","2.00","92.69","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden"
"LEHMS","8.00","8/13/1996","9/10/1996","8/16/1996","2.00","25.83","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany"
"BERGS","2.00","8/14/1996","9/11/1996","9/12/1996","1.00","8.98","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden"
"ROMEY","4.00","8/14/1996","8/28/1996","8/21/1996","1.00","2.94","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Spain"
"ROMEY","4.00","8/15/1996","9/12/1996","8/21/1996","1.00","12.69","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Spain"
"LILAS","3.00","8/16/1996","9/13/1996","8/23/1996","3.00","84.81","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"LEHMS","4.00","8/19/1996","9/16/1996","8/27/1996","1.00","76.56","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany"
"QUICK","1.00","8/20/1996","9/17/1996","8/26/1996","2.00","76.83","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"QUICK","8.00","8/21/1996","9/18/1996","8/30/1996","3.00","229.24","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"RICAR","8.00","8/22/1996","9/19/1996","8/28/1996","3.00","12.76","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil"
"REGGC","4.00","8/23/1996","9/20/1996","9/3/1996","1.00","7.45","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italy"
"BSBEV","7.00","8/26/1996","9/23/1996","8/28/1996","3.00","22.77","B's Beverages","Fauntleroy Circus","London","","EC2 5NT","UK"
"COMMI","8.00","8/27/1996","9/24/1996","9/3/1996","1.00","79.70","Comércio Mineiro","Av. dos Lusíadas, 23","Sao Paulo","SP","05432-043","Brazil"
"QUEDE","6.00","8/27/1996","9/24/1996","9/4/1996","2.00","6.40","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil"
"TRADH","1.00","8/28/1996","9/25/1996","9/2/1996","2.00","1.35","Tradiçao Hipermercados","Av. Inês de Castro, 414","Sao Paulo","SP","05634-030","Brazil"
"TORTU","1.00","8/29/1996","9/26/1996","9/11/1996","3.00","21.18","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico"
"RATTC","4.00","8/30/1996","9/27/1996","9/5/1996","2.00","147.26","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"VINET","2.00","9/2/1996","9/30/1996","9/10/1996","2.00","1.15","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","","51100","France"
"LILAS","6.00","9/3/1996","10/1/1996","9/11/1996","1.00","0.12","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"BLONP","5.00","9/4/1996","10/16/1996","9/10/1996","2.00","5.74","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"HUNGO","6.00","9/5/1996","10/3/1996","9/11/1996","2.00","168.22","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
